path	line	markers
server/app/control_auth.py	14	CONTROL_ADMIN_USER
server/app/control_auth.py	28	internal
server/app/control_auth.py	44	CONTROL_PROXY
server/app/control_auth.py	45	CONTROL_ADMIN_USER
server/app/control_auth.py	80	Internal
server/app/control_routes.py	10	sqlite
server/app/control_routes.py	206	internal
server/app/control_routes.py	214	internal
server/app/control_routes.py	462	internal
server/app/control_routes.py	476	INTERNAL
server/app/control_routes.py	502	internal
server/app/control_routes.py	505	internal
server/app/control_routes.py	506	internal
server/app/control_routes.py	507	internal
server/app/control_routes.py	1378	internal,SQLite
server/app/control_routes.py	1498	sqlite
server/app/control_routes.py	1586	sqlite
server/app/customer_device_routes.py	90	internal,SQLite
server/app/customer_device_service.py	39	SQLite
server/app/customer_fence.py	12	internal
server/app/customer_fence.py	110	internal
server/app/customer_fence.py	116	internal
server/app/customer_fence.py	117	internal
server/app/customer_fence.py	133	internal
server/app/customer_fence.py	355	internal,SQLite
server/app/customer_fence.py	356	internal
server/app/customer_fence.py	389	sqlite
server/app/customer_fence.py	400	Internal,SQLite
server/app/customer_fence.py	404	sqlite
server/app/customer_fence.py	436	internal
server/app/customer_fence.py	437	SQLite
server/app/customer_fence.py	439	SQLite
server/app/customer_fence.py	444	sqlite
server/app/customer_fence.py	453	Internal,SQLite
server/app/customer_fence.py	458	sqlite
server/app/db.py	3	sqlite
server/app/db.py	13	sqlite
server/app/db.py	18	sqlite
server/app/db.py	19	sqlite
server/app/db.py	26	sqlite
server/app/db.py	45	sqlite
server/app/db.py	49	sqlite
server/app/db.py	51	sqlite
server/app/db.py	52	sqlite
server/app/db_pg.py	5	SQLite
server/app/db_pg.py	10	internal,SQLite
server/app/db_pg.py	12	SQLite
server/app/db_pg.py	62	sqlite
server/app/db_pg.py	76	sqlite
server/app/db_pg.py	84	sqlite
server/app/db_pg.py	98	sqlite
server/app/db_pg.py	99	sqlite
server/app/db_pg.py	100	sqlite
server/app/db_pg.py	101	sqlite
server/app/db_pg.py	117	internal
server/app/db_pg.py	126	sqlite
server/app/db_pg.py	127	SQLite
server/app/db_pg.py	128	internal,SQLite
server/app/db_pg.py	133	sqlite
server/app/db_pg.py	135	sqlite
server/app/db_pg.py	136	sqlite
server/app/db_pg.py	139	sqlite
server/app/db_pg.py	144	sqlite
server/app/db_pg.py	161	SQLite
server/app/db_pg.py	162	internal
server/app/db_pg.py	171	SQLite
server/app/db_pg.py	274	SQLite
server/app/db_portable.py	6	internal,SQLite
server/app/db_portable.py	10	sqlite
server/app/db_portable.py	14	SQLite
server/app/db_portable.py	24	sqlite
server/app/db_portable.py	42	SQLite
server/app/db_portable.py	55	SQLite,sqlite
server/app/db_portable.py	67	sqlite
server/app/db_portable.py	68	SQLite
server/app/db_portable.py	71	SQLite
server/app/db_portable.py	74	SQLite
server/app/db_portable.py	82	SQLite
server/app/db_portable.py	147	SQLite
server/app/db_portable.py	149	SQLite
server/app/db_portable.py	165	SQLite
server/app/db_portable.py	182	SQLite
server/app/db_portable.py	184	SQLite
server/app/db_portable.py	201	sqlite
server/app/db_portable.py	202	sqlite
server/app/db_portable.py	214	SQLite
server/app/db_portable.py	215	sqlite
server/app/db_portable.py	217	sqlite
server/app/db_portable.py	220	sqlite
server/app/db_portable.py	221	sqlite
server/app/db_portable.py	224	sqlite
server/app/db_portable.py	231	sqlite
server/app/db_portable.py	250	sqlite
server/app/db_portable.py	299	sqlite
server/app/db_portable.py	304	SQLite
server/app/db_portable.py	323	sqlite
server/app/db_portable.py	326	SQLite
server/app/db_portable.py	331	SQLite
server/app/db_portable.py	335	sqlite
server/app/db_portable.py	340	SQLite
server/app/db_portable.py	344	sqlite
server/app/db_portable.py	345	SQLite
server/app/db_portable.py	351	sqlite
server/app/db_portable.py	353	SQLite
server/app/db_portable.py	354	sqlite
server/app/db_portable.py	357	SQLite
server/app/db_portable.py	361	SQLite
server/app/db_portable.py	368	SQLite
server/app/db_portable.py	373	sqlite
server/app/db_portable.py	375	SQLite
server/app/db_portable.py	379	SQLite
server/app/db_portable.py	384	SQLite
server/app/db_portable.py	388	sqlite
server/app/db_portable.py	389	SQLite
server/app/db_portable.py	393	sqlite
server/app/db_portable.py	394	SQLite
server/app/db_portable.py	399	sqlite
server/app/db_portable.py	404	SQLite
server/app/db_portable.py	412	SQLite
server/app/db_portable.py	415	SQLite
server/app/db_portable.py	428	sqlite
server/app/db_portable.py	434	sqlite
server/app/db_portable.py	435	SQLite
server/app/first_frame_routes.py	5	sqlite
server/app/first_frame_routes.py	460	sqlite
server/app/first_frame_routes.py	475	sqlite
server/app/first_frame_routes.py	497	sqlite
server/app/first_frames.py	9	sqlite
server/app/first_frames.py	1834	sqlite
server/app/first_frames.py	1875	sqlite
server/app/first_frames.py	1876	sqlite
server/app/first_frames.py	1992	sqlite
server/app/first_frames.py	1993	internal,SQLite
server/app/first_frames.py	2018	sqlite
server/app/first_frames.py	2034	sqlite
server/app/first_frames.py	2274	sqlite
server/app/first_frames.py	2432	sqlite
server/app/first_frames.py	2461	sqlite
server/app/first_frames.py	2464	sqlite
server/app/gate1_bootstrap.py	23	sqlite
server/app/gate1_bootstrap.py	47	INTERNAL
server/app/gate1_bootstrap.py	75	desktop_user
server/app/gate1_e2e.py	433	DESKTOP_USER
server/app/gate1_e2e.py	469	sqlite
server/app/gate1_e2e.py	729	SQLite
server/app/generation.py	13	sqlite
server/app/generation.py	42	internal
server/app/generation.py	45	internal
server/app/generation.py	46	internal
server/app/generation.py	862	sqlite
server/app/generation.py	864	sqlite
server/app/generation.py	882	sqlite
server/app/generation.py	917	sqlite
server/app/generation.py	999	sqlite
server/app/generation.py	1068	sqlite
server/app/generation.py	1148	sqlite
server/app/generation.py	1421	sqlite
server/app/generation.py	1508	sqlite
server/app/generation.py	1609	sqlite
server/app/generation.py	1632	sqlite
server/app/generation.py	1689	sqlite
server/app/generation.py	1748	sqlite
server/app/generation.py	1757	sqlite
server/app/generation.py	1795	internal
server/app/generation.py	2152	sqlite
server/app/generation.py	2629	sqlite
server/app/generation.py	2656	sqlite
server/app/generation.py	3009	sqlite
server/app/generation.py	3024	sqlite
server/app/generation.py	3068	SQLite
server/app/generation.py	3070	SQLite
server/app/generation.py	3538	sqlite
server/app/generation.py	3580	sqlite
server/app/generation.py	3591	sqlite
server/app/generation.py	3661	sqlite
server/app/generation.py	3870	internal
server/app/generation.py	3907	internal
server/app/generation.py	3998	sqlite
server/app/generation.py	4011	sqlite
server/app/generation.py	4018	sqlite
server/app/generation.py	4020	sqlite
server/app/generation.py	4039	sqlite
server/app/generation.py	4052	sqlite
server/app/generation.py	4222	sqlite
server/app/generation.py	4357	internal
server/app/generation.py	4397	internal
server/app/generation.py	4457	internal
server/app/generation.py	4497	SQLite
server/app/generation.py	4507	SQLite
server/app/generation.py	4509	sqlite
server/app/generation.py	4510	SQLite
server/app/generation.py	4538	SQLite
server/app/generation.py	4562	SQLite
server/app/generation.py	4590	SQLite
server/app/generation.py	4635	SQLite
server/app/generation.py	4738	SQLite
server/app/generation.py	4740	SQLite
server/app/generation.py	5183	internal
server/app/generation.py	5285	internal
server/app/generation.py	5327	internal
server/app/generation.py	5367	internal
server/app/generation.py	6054	internal
server/app/generation.py	6134	internal
server/app/generation.py	6559	sqlite
server/app/generation.py	6803	SQLite
server/app/generation.py	6958	sqlite
server/app/generation.py	6971	sqlite
server/app/generation.py	7020	sqlite
server/app/generation.py	7128	sqlite
server/app/generation_routes.py	7	sqlite
server/app/generation_routes.py	240	sqlite
server/app/generation_routes.py	641	sqlite
server/app/generation_routes.py	657	sqlite
server/app/generation_routes.py	693	internal
server/app/generation_routes.py	893	sqlite
server/app/generation_worker.py	296	sqlite
server/app/generation_worker.py	343	SQLite
server/app/generation_worker.py	349	sqlite
server/app/generation_worker.py	1330	sqlite
server/app/generation_worker.py	1337	sqlite
server/app/generation_worker.py	1353	sqlite
server/app/generation_worker.py	1370	sqlite
server/app/generation_worker.py	1447	SQLite
server/app/generation_worker.py	1492	sqlite
server/app/generation_worker.py	1498	sqlite
server/app/image_tasks.py	13	sqlite
server/app/image_tasks.py	111	sqlite
server/app/image_tasks.py	245	sqlite
server/app/image_tasks.py	282	sqlite
server/app/image_tasks.py	315	sqlite
server/app/image_tasks.py	370	sqlite
server/app/image_tasks.py	389	sqlite
server/app/image_tasks.py	419	sqlite
server/app/image_tasks.py	430	sqlite
server/app/image_tasks.py	470	sqlite
server/app/image_tasks.py	839	sqlite
server/app/image_tasks.py	946	sqlite
server/app/image_tasks.py	952	sqlite
server/app/image_tasks.py	1160	sqlite
server/app/image_tasks.py	1164	sqlite
server/app/image_tasks.py	1173	sqlite
server/app/image_tasks.py	1175	sqlite
server/app/image_tasks.py	1191	sqlite
server/app/image_tasks.py	1193	sqlite
server/app/image_tasks.py	1221	sqlite
server/app/image_tasks.py	1231	sqlite
server/app/image_tasks.py	1240	sqlite
server/app/independent.py	20	sqlite
server/app/independent.py	115	sqlite
server/app/independent.py	116	sqlite
server/app/independent.py	386	sqlite
server/app/independent.py	387	SQLite
server/app/internal_accounts.py	67	internal
server/app/internal_accounts.py	79	internal
server/app/internal_accounts.py	91	internal
server/app/internal_accounts.py	95	internal
server/app/internal_accounts.py	111	sqlite
server/app/internal_billing.py	17	Internal
server/app/internal_billing.py	21	Internal
server/app/internal_billing.py	25	Internal
server/app/internal_billing.py	134	internal
server/app/internal_billing.py	657	internal
server/app/internal_billing.py	695	internal
server/app/internal_billing.py	794	internal
server/app/internal_billing.py	808	internal
server/app/main.py	80	internal
server/app/main.py	101	internal,SQLite
server/app/main.py	106	internal
server/app/main.py	107	SQLite
server/app/main.py	110	internal
server/app/main.py	132	SQLite
server/app/main.py	180	internal
server/app/main.py	385	internal
server/app/media.py	6	sqlite
server/app/media.py	433	sqlite
server/app/media.py	540	sqlite
server/app/media_routes.py	149	单机
server/app/media_routes.py	209	internal
server/app/media_routes.py	398	sqlite
server/app/ops_metrics.py	467	Internal
server/app/oral.py	9	internal
server/app/oral.py	30	internal
server/app/oral_routes.py	23	internal
server/app/oral_worker.py	26	internal
server/app/oral_worker.py	96	internal
server/app/oral_worker.py	381	SQLite
server/app/payment_routes.py	6	sqlite
server/app/payment_routes.py	89	sqlite
server/app/payment_routes.py	100	内部
server/app/payment_routes.py	208	sqlite
server/app/permissions.py	6	sqlite
server/app/permissions.py	235	sqlite
server/app/permissions.py	251	sqlite
server/app/permissions.py	262	sqlite
server/app/permissions.py	283	sqlite
server/app/permissions.py	322	sqlite
server/app/permissions.py	325	sqlite
server/app/permissions.py	332	sqlite
server/app/permissions.py	339	sqlite
server/app/permissions.py	352	sqlite
server/app/permissions.py	363	sqlite
server/app/permissions.py	375	sqlite
server/app/permissions.py	403	sqlite
server/app/permissions.py	418	sqlite
server/app/permissions.py	427	sqlite
server/app/permissions.py	466	sqlite
server/app/permissions.py	475	sqlite
server/app/permissions.py	492	sqlite
server/app/permissions.py	493	sqlite
server/app/permissions.py	502	sqlite
server/app/project_character_selection.py	5	sqlite
server/app/project_character_selection.py	104	sqlite
server/app/project_character_selection.py	241	sqlite
server/app/project_character_selection.py	258	sqlite
server/app/project_character_selection.py	259	sqlite
server/app/project_character_selection.py	336	sqlite
server/app/rbac_routes.py	9	sqlite
server/app/rbac_routes.py	146	sqlite
server/app/rbac_routes.py	215	sqlite
server/app/rbac_routes.py	261	sqlite
server/app/rbac_routes.py	325	sqlite
server/app/rbac_routes.py	815	sqlite
server/app/rbac_routes.py	817	sqlite
server/app/rbac_routes.py	1152	sqlite
server/app/rbac_routes.py	1163	sqlite
server/app/rbac_routes.py	1204	sqlite
server/app/recharge_routes.py	4	sqlite
server/app/recharge_routes.py	146	internal
